Camera Name,site,time,status,Date Deployed,Date Removed,active,visual,baitlure,baittype,luretype,baitluretype,KS,detection,Date of 1st Detection,Days to 1st Detection,# of Detections,season
PLP 1-1,PLP 1,137,0,11/9/2022,3/26/2023,137,PVC,yes,paste,gusto,paste.gusto,no,no,N/A,N/A,0,winter
PLP 1-2,PLP 1,137,0,11/9/2022,3/26/2023,137,suet,yes,beaver,supreme,beaver.supreme,yes,no,N/A,N/A,0,winter
PLP 1-3,PLP 1,137,0,11/9/2022,3/26/2023,137,scale,yes,paste,salmon,paste.salmon,no,no,N/A,N/A,0,winter
PLP 2-1,PLP 2,137,0,11/9/2022,3/26/2023,137,suet,no,none,none,absent.absent,yes,no,N/A,N/A,0,winter
PLP 2-2,PLP 2,137,0,11/9/2022,3/26/2023,137,PVC,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
PLP 2-3,PLP 2,137,0,11/9/2022,3/26/2023,137,scale,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
MP 1-1,MP 1,138,0,11/23/2022,4/10/2023,138,PVC,yes,paste,salmon,paste.salmon,no,no,N/A,N/A,0,winter
MP 1-2,MP 1,138,0,11/23/2022,4/10/2023,138,suet,yes,beaver,supreme,beaver.supreme,no,no,N/A,N/A,0,winter
MP 1-3,MP 1,138,0,11/23/2022,4/10/2023,138,scale,yes,paste,gusto,paste.gusto,no,no,N/A,N/A,0,winter
CI 1-1,CI 1,138,0,11/23/2022,4/10/2023,138,scale,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
CI 1-2,CI 1,138,0,11/23/2022,4/10/2023,138,suet,no,none,none,absent.absent,yes,no,N/A,N/A,0,winter
CI 1-3,CI 1,138,0,11/23/2022,4/10/2023,138,PVC,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
KL 1-1,KL 1,90,0,11/12/2022,2/10/2023,90,scale,yes,paste,supreme,paste.supreme,no,no,N/A,N/A,0,winter
KL 1-2,KL 1,90,0,11/12/2022,2/10/2023,90,PVC,yes,paste,gusto,paste.gusto,no,no,N/A,N/A,0,winter
KL 1-3,KL 1,70,1,11/12/2022,2/10/2023,90,suet,yes,beaver,salmon,beaver.salmon,no,yes,1/21/2023,70,1,winter
TD 2-1,TD 2,128,0,11/18/2022,3/26/2023,128,PVC,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
TD 2-2,TD 2,72,1,11/18/2022,3/26/2023,128,suet,no,none,none,absent.absent,no,yes,1/29/2023,72,1,winter
TD 2-3,TD 2,128,0,11/18/2022,3/26/2023,128,scale,no,none,none,absent.absent,yes,no,N/A,N/A,0,winter
MP 2-1,MP 2,81,1,11/23/2022,3/5/2023,102,PVC,no,none,none,absent.absent,no,yes,2/12/2023,81,1,winter
MP 2-2,MP 2,102,0,11/23/2022,3/5/2023,102,suet,no,none,none,absent.absent,yes,no,N/A,N/A,0,winter
MP 2-3,MP 2,102,0,11/23/2022,3/5/2023,102,scale,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
LR 1-1,LR 1,87,0,1/13/2023,4/10/2023,87,scale,yes,paste,gusto,paste.gusto,no,no,N/A,N/A,0,winter
LR 1-2,LR 1,87,0,1/13/2023,4/10/2023,87,PVC,yes,paste,salmon,paste.salmon,yes,no,N/A,N/A,0,winter
LR 1-3,LR 1,44,1,1/13/2023,4/10/2023,87,suet,yes,beaver,supreme,beaver.supreme,no,yes,2/26/2023,44,1,winter
KR 2-1,KR 2,95,0,11/26/2023,2/29/2024,95,suet,yes,beaver,gusto,beaver.gusto,no,no,N/A,N/A,0,winter
KR 2-2,KR 2,95,0,11/26/2023,2/29/2024,95,scale,yes,paste,supreme,paste.supreme,no,no,N/A,N/A,0,winter
KR 2-3,KR 2,95,0,11/26/2023,2/29/2024,95,PVC,yes,paste,salmon,paste.salmon,no,no,N/A,N/A,0,winter
PLP 10-1,PLP 10,95,0,11/26/2023,2/29/2024,95,PVC,yes,paste,supreme,paste.supreme,yes,no,N/A,N/A,0,winter
PLP 10-2,PLP 10,95,0,11/26/2023,2/29/2024,95,scale,yes,paste,salmon,paste.salmon,no,no,N/A,N/A,0,winter
PLP 10-3,PLP 10,95,0,11/26/2023,2/29/2024,95,suet,yes,beaver,gusto,beaver.gusto,no,no,N/A,N/A,0,winter
PLP 11-1,PLP 11,95,0,11/26/2023,2/29/2024,95,suet,no,none,none,absent.absent,yes,no,N/A,N/A,0,winter
PLP 11-2,PLP 11,95,0,11/26/2023,2/29/2024,95,PVC,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
PLP 11-3,PLP 11,95,0,11/26/2023,2/29/2024,95,scale,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
SH 2-1,SH 2,64,0,11/30/2023,2/2/2024,64,scale,yes,beaver,salmon,beaver.salmon,no,no,N/A,N/A,0,winter
SH 2-2,SH 2,29,1,11/30/2023,2/2/2024,64,suet,yes,beaver,gusto,beaver.gusto,no,yes,12/29/2023,29,1,winter
SH 2-3,SH 2,64,0,11/30/2023,2/2/2024,64,PVC,yes,paste,supreme,paste.supreme,no,no,N/A,N/A,0,winter
SH 3-1,SH 3,91,0,11/30/2023,2/29/2024,91,scale,yes,beaver,gusto,beaver.gusto,no,no,N/A,N/A,0,winter
SH 3-2,SH 3,91,0,11/30/2023,2/29/2024,91,suet,yes,beaver,salmon,beaver.salmon,no,no,N/A,N/A,0,winter
SH 3-3,SH 3,91,0,11/30/2023,2/29/2024,91,PVC,yes,paste,supreme,paste.supreme,no,no,N/A,N/A,0,winter
