Camera Name,site,Date Deployed,Date Removed,active,capture,noncapture,visual,baitlure,baittype,luretype,baitluretype,KS,detection,,,,Days removed
PLP 1-1,PLP 1,11/9/2022,3/26/2023,137,0,137,PVC,yes,paste,gusto,paste.gusto,no,no,,,,
PLP 1-2,PLP 1,11/9/2022,3/26/2023,137,0,137,suet,yes,beaver,supreme,beaver.supreme,yes,no,,,,
PLP 1-3,PLP 1,11/9/2022,3/26/2023,137,0,128,scale,yes,paste,salmon,paste.salmon,no,no,*camera dead (days removed),,,9
PLP 2-1,PLP 2,11/9/2022,3/26/2023,137,0,137,suet,no,absent,absent,absent.absent,yes,no,,,,
PLP 2-2,PLP 2,11/9/2022,3/26/2023,137,0,137,PVC,no,absent,absent,absent.absent,no,no,,,,
PLP 2-3,PLP 2,11/9/2022,3/26/2023,137,0,113,scale,no,absent,absent,absent.absent,no,no,*camera dead (days removed),,,24
PLP 3-1,PLP 3,11/18/2022,1/16/2023,59,1,58,suet,yes,beaver,salmon,beaver.salmon,no,yes,,,,
PLP 3-2,PLP 3,11/18/2022,1/16/2023,59,0,59,scale,yes,paste,gusto,paste.gusto,no,no,,,,
PLP 3-3,PLP 3,11/18/2022,1/16/2023,59,0,47,PVC,yes,paste,supreme,paste.supreme,no,no,*camera dead (days removed),,,12
KL 1-1,KL 1,11/12/2022,2/10/2023,90,0,90,scale,yes,paste,supreme,paste.supreme,no,no,,,,
KL 1-2,KL 1,11/12/2022,2/10/2023,90,0,90,PVC,yes,paste,gusto,paste.gusto,no,no,,,,
KL 1-3,KL 1,11/12/2022,2/10/2023,90,1,89,suet,yes,beaver,salmon,beaver.salmon,no,yes,,,,
HK 1-1,HK 1,11/12/2022,1/13/2023,62,2,60,PVC,yes,paste,salmon,paste.salmon,no,yes,,,,
HK 1-2,HK 1,11/12/2022,12/27/2022,45,1,44,scale,yes,paste,gusto,paste.gusto,yes,yes,,,,
HK 1-3,HK 1,11/12/2022,1/13/2023,62,1,61,suet,yes,beaver,supreme,beaver.supreme,no,yes,,,,
TD 1-1,TD 1,11/18/2022,1/16/2023,59,1,58,suet,yes,beaver,gusto,beaver.gusto,no,yes,,,,
TD 1-2,TD 1,11/18/2022,12/23/2022,35,3,32,scale,yes,paste,salmon,paste.salmon,yes,yes,,,,
TD 1-3,TD 1,11/18/2022,1/16/2023,59,2,57,PVC,yes,paste,supreme,paste.supreme,yes,yes,,,,
TD 2-1,TD 2,11/18/2022,3/26/2023,128,0,113,PVC,no,absent,absent,absent.absent,no,no,*camera dead (days removed),,,15
TD 2-2,TD 2,11/18/2022,3/26/2023,128,1,106,suet,no,absent,absent,absent.absent,no,yes,*camera dead (days removed),,,22
TD 2-3,TD 2,11/18/2022,3/26/2023,128,0,128,scale,no,absent,absent,absent.absent,yes,no,,,,
MP 1-1,MP 1,11/23/2022,4/10/2023,138,0,138,PVC,yes,paste,salmon,paste.salmon,no,no,,,,
MP 1-2,MP 1,11/23/2022,4/10/2023,138,0,138,suet,yes,beaver,supreme,beaver.supreme,no,no,,,,
MP 1-3,MP 1,11/23/2022,4/10/2023,138,0,138,scale,yes,paste,gusto,paste.gusto,no,no,,,,
MP 2-1,MP 2,11/23/2022,3/5/2023,102,1,101,PVC,no,absent,absent,absent.absent,no,yes,,,,
MP 2-2,MP 2,11/23/2022,3/5/2023,102,0,102,suet,no,absent,absent,absent.absent,yes,no,,,,
MP 2-3,MP 2,11/23/2022,3/5/2023,102,0,102,scale,no,absent,absent,absent.absent,no,no,,,,
CI 1-1,CI 1,11/23/2022,4/10/2023,138,0,138,scale,no,absent,absent,absent.absent,no,no,,,,
CI 1-2,CI 1,11/23/2022,4/10/2023,138,0,138,suet,no,absent,absent,absent.absent,yes,no,,,,
CI 1-3,CI 1,11/23/2022,4/10/2023,138,0,138,PVC,no,absent,absent,absent.absent,no,no,,,,
LR 1-1,LR 1,1/13/2023,4/10/2023,87,0,87,scale,yes,paste,gusto,paste.gusto,no,no,,,,
LR 1-2,LR 1,1/13/2023,4/10/2023,87,0,87,PVC,yes,paste,salmon,paste.salmon,yes,no,,,,
LR 1-3,LR 1,1/13/2023,4/10/2023,87,1,86,suet,yes,beaver,supreme,beaver.supreme,no,yes,,,,
TD 3-1,TD 3,1/16/2023,5/30/2023,134,1,133,suet,yes,beaver,gusto,beaver.gusto,no,yes,,,,
TD 3-2,TD 3,1/16/2023,6/17/2023,152,0,152,scale,yes,paste,salmon,paste.salmon,yes,no,,,,
TD 3-3,TD 3,1/16/2023,6/17/2023,152,0,152,PVC,yes,paste,supreme,paste.supreme,no,no,,,,
KL 2-1,KL 2,2/10/2023,6/17/2023,127,0,127,suet,yes,beaver,salmon,beaver.salmon,no,no,,,,
KL 2-2,KL 2,2/10/2023,6/17/2023,127,1,126,PVC,yes,paste,gusto,paste.gusto,no,yes,,,,
KL 2-3,KL 2,2/10/2023,6/17/2023,127,0,127,scale,yes,paste,supreme,paste.supreme,no,no,,,,
MB 1-1,MB 1,3/5/2023,6/30/2023,117,0,112,scale,no,absent,absent,absent.absent,no,no,*camera dead (days removed),,,5
MB 1-2,MB 1,3/5/2023,7/4/2023,121,0,121,suet,no,absent,absent,absent.absent,yes,no,,,,
MB 1-3,MB 1,3/5/2023,7/8/2023,125,0,125,PVC,no,absent,absent,absent.absent,no,no,,,,
TD 4-1,TD 4,3/26/2023,7/16/2023,112,0,112,PVC,no,absent,absent,absent.absent,no,no,,,,
TD 4-2,TD 4,3/26/2023,7/16/2023,112,0,83,scale,no,absent,absent,absent.absent,yes,no,*camera dead (days removed),,,29
TD 4-3,TD 4,3/26/2023,7/16/2023,112,1,111,suet,no,absent,absent,absent.absent,no,yes,,,,
PLP 4-1,PLP 4,3/26/2023,7/30/2023,126,1,125,PVC,no,absent,absent,absent.absent,no,yes,,,,
PLP 4-2,PLP 4,3/26/2023,7/30/2023,126,0,126,suet,no,absent,absent,absent.absent,yes,no,,,,
PLP 4-3,PLP 4,3/26/2023,7/30/2023,126,2,124,scale,no,absent,absent,absent.absent,no,yes,,,,
PLP 5-1,PLP 5,3/26/2023,7/1/2023,97,0,97,suet,yes,beaver,supreme,beaver.supreme,no,no,,,,
PLP 5-2,PLP 5,3/26/2023,7/1/2023,97,1,96,scale,yes,paste,salmon,paste.salmon,yes,yes,,,,
PLP 5-3,PLP 5,3/26/2023,7/1/2023,97,0,97,PVC,yes,paste,gusto,paste.gusto,no,no,,,,
MP 3-1,MP 3,4/10/2023,8/5/2023,117,0,117,scale,yes,paste,gusto,paste.gusto,no,no,,,,
MP 3-2,MP 3,4/10/2023,8/5/2023,117,0,117,suet,yes,beaver,supreme,beaver.supreme,no,no,,,,
MP 3-3,MP 3,4/10/2023,8/5/2023,117,0,117,PVC,yes,paste,salmon,paste.salmon,yes,no,,,,
PLP 6-1,PLP 6,4/10/2023,8/5/2023,117,0,117,suet,no,absent,absent,absent.absent,no,no,,,,
PLP 6-2,PLP 6,4/10/2023,8/5/2023,117,0,117,scale,no,absent,absent,absent.absent,no,no,,,,
PLP 6-3,PLP 6,4/10/2023,8/5/2023,117,0,106,PVC,no,absent,absent,absent.absent,no,no,*camera dead (days removed),,,11
