Camera Name,site,time,status,Date Deployed,Date Removed,active,visual,baitlure,baittype,luretype,baitluretype,KS,detection,Date of 1st Detection,Days to 1st Detection,# of Detections,season
PLP 1-1,PLP 1,137,0,11/9/2022,3/26/2023,137,PVC,yes,paste,gusto,paste.gusto,no,no,N/A,N/A,0,winter
PLP 1-2,PLP 1,137,0,11/9/2022,3/26/2023,137,suet,yes,beaver,supreme,beaver.supreme,yes,no,N/A,N/A,0,winter
PLP 1-3,PLP 1,137,0,11/9/2022,3/26/2023,137,scale,yes,paste,salmon,paste.salmon,no,no,N/A,N/A,0,winter
PLP 2-1,PLP 2,137,0,11/9/2022,3/26/2023,137,suet,no,none,none,absent.absent,yes,no,N/A,N/A,0,winter
PLP 2-2,PLP 2,137,0,11/9/2022,3/26/2023,137,PVC,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
PLP 2-3,PLP 2,137,0,11/9/2022,3/26/2023,137,scale,no,none,none,absent.absent,no,no,N/A,N/A,0,winter
PLP 3-1,PLP 3,31,1,11/18/2022,1/16/2023,59,suet,yes,beaver,salmon,beaver.salmon,no,yes,12/19/2022,31,1,fall
PLP 3-2,PLP 3,59,0,11/18/2022,1/16/2023,59,scale,yes,paste,gusto,paste.gusto,no,no,N/A,N/A,0,fall
PLP 3-3,PLP 3,59,0,11/18/2022,1/16/2023,59,PVC,yes,paste,supreme,paste.supreme,no,no,N/A,N/A,0,fall
HK 1-1,HK 1,1,1,11/12/2022,1/13/2023,62,PVC,yes,paste,salmon,paste.salmon,no,yes,11/13/2022,1,2,fall
HK 1-2,HK 1,12,1,11/12/2022,12/27/2022,45,scale,yes,paste,gusto,paste.gusto,yes,yes,11/24/2022,12,1,fall
HK 1-3,HK 1,1,1,11/12/2022,1/13/2023,62,suet,yes,beaver,supreme,beaver.supreme,no,yes,11/13/2022,1,1,fall
TD 1-1,TD 1,42.5,1,11/18/2022,1/16/2023,59,suet,yes,beaver,gusto,beaver.gusto,no,yes,12/14/22-1/16/23,42.5,1,fall
TD 1-2,TD 1,7,1,11/18/2022,12/23/2022,35,scale,yes,paste,salmon,paste.salmon,yes,yes,11/25/2022,7,3,fall
TD 1-3,TD 1,18,1,11/18/2022,1/16/2023,59,PVC,yes,paste,supreme,paste.supreme,yes,yes,12/6/2022,18,2,fall
