Camera Name,site,time,status,Date Deployed,Date Removed,active,visual,baitlure,baittype,luretype,baitluretype,KS,detection
PLP 1-1,PLP 1,137,0,11/9/2022,3/26/2023,137,PVC,yes,paste,gusto,paste.gusto,no,no
PLP 1-2,PLP 1,137,0,11/9/2022,3/26/2023,137,suet,yes,beaver,supreme,beaver.supreme,yes,no
PLP 1-3,PLP 1,137,0,11/9/2022,3/26/2023,137,scale,yes,paste,salmon,paste.salmon,no,no
PLP 2-1,PLP 2,137,0,11/9/2022,3/26/2023,137,suet,no,none,none,absent.absent,yes,no
PLP 2-2,PLP 2,137,0,11/9/2022,3/26/2023,137,PVC,no,none,none,absent.absent,no,no
PLP 2-3,PLP 2,137,0,11/9/2022,3/26/2023,137,scale,no,none,none,absent.absent,no,no
PLP 3-1,PLP 3,31,1,11/18/2022,1/16/2023,59,suet,yes,beaver,salmon,beaver.salmon,no,yes
PLP 3-2,PLP 3,59,0,11/18/2022,1/16/2023,59,scale,yes,paste,gusto,paste.gusto,no,no
PLP 3-3,PLP 3,59,0,11/18/2022,1/16/2023,59,PVC,yes,paste,supreme,paste.supreme,no,no
KL 1-1,KL 1,90,0,11/12/2022,2/10/2023,90,scale,yes,paste,supreme,paste.supreme,no,no
KL 1-2,KL 1,90,0,11/12/2022,2/10/2023,90,PVC,yes,paste,gusto,paste.gusto,no,no
KL 1-3,KL 1,70,1,11/12/2022,2/10/2023,90,suet,yes,beaver,salmon,beaver.salmon,no,yes
HK 1-1,HK 1,1,1,11/12/2022,1/13/2023,62,PVC,yes,paste,salmon,paste.salmon,no,yes
HK 1-2,HK 1,12,1,11/12/2022,12/27/2022,45,scale,yes,paste,gusto,paste.gusto,yes,yes
HK 1-3,HK 1,1,1,11/12/2022,1/13/2023,62,suet,yes,beaver,supreme,beaver.supreme,no,yes
TD 1-1,TD 1,42.5,1,11/18/2022,1/16/2023,59,suet,yes,beaver,gusto,beaver.gusto,no,yes
TD 1-2,TD 1,7,1,11/18/2022,12/23/2022,35,scale,yes,paste,salmon,paste.salmon,yes,yes
TD 1-3,TD 1,18,1,11/18/2022,1/16/2023,59,PVC,yes,paste,supreme,paste.supreme,yes,yes
TD 2-1,TD 2,128,0,11/18/2022,3/26/2023,128,PVC,no,none,none,absent.absent,no,no
TD 2-2,TD 2,72,1,11/18/2022,3/26/2023,128,suet,no,none,none,absent.absent,no,yes
TD 2-3,TD 2,128,0,11/18/2022,3/26/2023,128,scale,no,none,none,absent.absent,yes,no
MP 1-1,MP 1,138,0,11/23/2022,4/10/2023,138,PVC,yes,paste,salmon,paste.salmon,no,no
MP 1-2,MP 1,138,0,11/23/2022,4/10/2023,138,suet,yes,beaver,supreme,beaver.supreme,no,no
MP 1-3,MP 1,138,0,11/23/2022,4/10/2023,138,scale,yes,paste,gusto,paste.gusto,no,no
MP 2-1,MP 2,81,1,11/23/2022,3/5/2023,102,PVC,no,none,none,absent.absent,no,yes
MP 2-2,MP 2,102,0,11/23/2022,3/5/2023,102,suet,no,none,none,absent.absent,yes,no
MP 2-3,MP 2,102,0,11/23/2022,3/5/2023,102,scale,no,none,none,absent.absent,no,no
CI 1-1,CI 1,138,0,11/23/2022,4/10/2023,138,scale,no,none,none,absent.absent,no,no
CI 1-2,CI 1,138,0,11/23/2022,4/10/2023,138,suet,no,none,none,absent.absent,yes,no
