Camera Name,site,time,status,Date Deployed,Date Removed,active,visual,baitlure,baittype,luretype,baitluretype,KS,detection,Date of 1st Detection,Days to 1st Detection,# of Detections,season
PLP 7-1,PLP 7,118,0,7/1/2023,10/27/2023,118,suet,yes,beaver,salmon,beaver.salmon,no,no,N/A,N/A,0,summer
PLP 7-2,PLP 7,118,0,7/1/2023,10/27/2023,118,scale,yes,paste,supreme,paste.supreme,no,no,N/A,N/A,0,summer
PLP 7-3,PLP 7,118,0,7/1/2023,10/27/2023,118,PVC,yes,paste,gusto,paste.gusto,no,no,N/A,N/A,0,summer
TD 5-3,TD 5,118,0,7/1/2023,10/27/2023,118,PVC,yes,paste,gusto,paste.gusto,no,no,N/A,N/A,0,summer
BR 1-1,BR 1,39,1,7/1/2023,8/26/2023,56,suet,yes,beaver,gusto,beaver.gusto,no,yes,8/9/2023,39,1,summer
BR 1-2,BR 1,39,0,7/1/2023,8/9/2023,39,scale,yes,paste,salmon,paste.salmon,yes,no,N/A,N/A,0,summer
BR 1-3,BR 1,4,1,7/1/2023,8/26/2023,56,PVC,yes,paste,supreme,paste.supreme,no,yes,7/5/2023,4,5,summer
TD 6-3,TD 6,41,0,7/16/2023,8/26/2023,41,suet,no,none,none,absent.absent,yes,no,N/A,N/A,0,summer
SH 1-1,SH 1,126,0,7/16/2023,11/26/2023,126,suet,yes,beaver,supreme,beaver.supreme,yes,no,N/A,N/A,0,summer
SH 1-2,SH 1,93,1,7/16/2023,11/26/2023,126,scale,yes,paste,gusto,paste.gusto,no,yes,10/17/2023,93,1,summer
SH 1-3,SH 1,103,1,7/16/2023,11/26/2023,126,PVC,yes,paste,salmon,paste.salmon,no,yes,10/27/2023,103,1,summer
